Partner University (PU),PU Module Code,PU Module Title,PU Module Credits,NUS Module Cod,NUS Module Credits
Chalmers University of Technology,KBT192,NUCLEAR CHEMISTRY I,7.50,CM3991,4
Chalmers University of Technology,KLIO11,FOOD CHEMISTRY,7.50,CM3991,4
Chalmers University of Technology,KLI011,Food Chemistry,7.50,CM3991,4
Chalmers University of Technology,KFK021,Biophysical Chemistry,7.50,CM3991,4
Chalmers University of Technology,FFR166,Science of environmental change,7.50,CM3261,4
Chalmers University of Technology,KOK032,Applied organic molecular spectroscopy,7.50,CM4225,4
Chalmers University of Technology,KTK012,catalysis,7.50,CM4228,4
Chalmers University of Technology,KBT245,green chemistry,7.50,CM4269,4
Chalmers University of Technology,KBT160,Advanced Organic Synthesis,7.50,CM3221,4
Chalmers University of Technology,KBT101,solid state chemistry,7.50,CM3253,4
City University of Hong Kong,AP3190,Thermodynamics of Materials,3.00,CM3991,4
City University of Hong Kong,BCH4043,Food Chemistry,3.00,CM3991,4
City University of Hong Kong,BCH2008A,PRINCIPLES OF PHYSICAL CHEMISTRY,3.00,CM1131,4
City University of Hong Kong,BCH3055,Green Chemistry,3.00,CM4269,4
City University of Hong Kong,BCH4030,Advanced Inorganic Chemistry,4.00,CM3212,4
City University of Hong Kong,AP3272,Introduction to Solid State Physics,3.00,CM3232,4
City University of Hong Kong,BCH3053,Computational Chemistry,3.00,CM3296,4
Colgate University,CHEM452,Metabolic Chemistry,0.50,CM3991,4
Colgate University,CHEM454,Bioenergetics,0.50,CM3991,4
Colgate University,CHEM353,Proteins and Nucleic Acids,1.00,CM3225,4
Delft University of Technology,LM3311,Green Chemistry and Sustainable Technology,3.00,CM4269,4
Delft University of Technology,CH3082,Chemical Technology,3.00,CM3201,4
Delft University of Technology,CH3101,Heterogeneous Catalysis for Chemical Engineers,3.00,CM4228,4
Delft University of Technology,CH3562,Nanoparticle Technology,3.00,CM3251,4
Delft University of Technology,CH3672,Computational Materials Science,3.00,CM3296,4
ETH Zurich,402‐0810‐00L,Computational Quantum Physics,8.00,CM3296,4
ETH Zurich,5290731‐00L,Nucleic Acids and Carbohydrates,6.00,CM3225,4
Fudan University,CHEM120005,General Chemistry A1,2.00,CM1417,4
Georgia Institute of Technology,CHEM4521,Biophysical Chemistry,3.00,CM4991,4
Georgia Institute of Technology,CHEM4760,Biocatalysis and Metabolism Engineering,3.00,CM4991,4
Georgia Institute of Technology,CHEM4341,Applied Spectroscopy,3.00,CM4225,4
Georgia Institute of Technology,CHEM4311,Adv Organic Chem,3.00,CM3222,4
Georgia Institute of Technology,CHEM3281,Instrumental Analysis,4.00,CM3242,4
Georgia Institute of Technology,CHEM4775,Polymer Science and Engineering 1,3.00,CM3252,4
Hong Kong Uni of Sci & Tech,CHEM4340,Bioanalytical Techniques,3.00,CM4991,4
Hong Kong Uni of Sci & Tech,CHEM4340,Bioanalytical Techniques,3.00,CM3991,4
Hong Kong Uni of Sci & Tech,ENVR6040E,Advanced Atmospheric Chemistry,3.00,CM4991,4
Hong Kong Uni of Sci & Tech,CHEM2111,Fundamentals of Organic Chemistry,3.00,CM1121,4
Hong Kong Uni of Sci & Tech,CHEM1030,General Chemistry II,3.00,CM1111,4
Hong Kong Uni of Sci & Tech,CHEM2311,Analytical Chemistry,3.00,CM2142,4
Hong Kong Uni of Sci & Tech,CHEM3320,Instrumental Analysis,3.00,CM3242,4
Hong Kong Uni of Sci & Tech,ENV3220,Energy Resources and Usage,3.00,CM4282,4
Hong Kong Uni of Sci & Tech,ENVR3210,Environment technology,3.00,CM4269,4
Hong Kong Uni of Sci & Tech,CHEM2210,Inorganic Chemistry I,3.00,CM1111,4
Hong Kong Uni of Sci & Tech,ENVR3220,Energy Resources and Usage,3.00,CM4282,4
Hong Kong Uni of Sci & Tech,CHEM4210,Solid State Chemistry,3.00,CM3253,4
Hong Kong Uni of Sci & Tech,CHEM5410,Atmospheric Chemistry,3.00,CM4269,4
Hong Kong Uni of Sci & Tech,ENVR3210,Environmental Technology,3.00,CM4269,4
Hong Kong Uni of Sci & Tech,CHEM5230,Quantum Chemistry,3.00,CM3296,4
King's College London,6CCC0010,Advanced Topics in Synthesis and Reactivity,15.00,CM3222,4
King's College London,6CCC0020,Catalysis,15.00,CM4228,4
King's College London,6CCC0060,The Chemistry of Disease and Therapy,15.00,CM4271,4
Korea Adv Inst S&T (KAIST),CH418,COMPUTATIONAL CHEMISTRY,3.00,CM3296,4
Korea Adv Inst S&T (KAIST),CH471,POLYMER CHEMISTRY,3.00,CM3252,4
Korea Adv Inst S&T (KAIST),CH452,Introduction to Nanochemistry,3.00,CM3251,4
Korea Adv Inst S&T (KAIST),CH325,Bioorganic Chemistry,3.00,CM3225,4
Korea Adv Inst S&T (KAIST),CH315,Physical Chemistry 3,3.00,CM3232,4
Korea University,LIET338,Biomaterial Chemistry,3.00,CM4991,4
Korea University,CHBE223,Organic Chemistry I,3.00,CM1501,4
Korea University,CHEM462,Polymer Chemistry II,3.00,CM3252,4
Korea University,CHEM322,Physical Organic Chemistry (English),3.00,CM3222,4
Korea University,CHEM453,Organic Spectroscopy (English),3.00,CM4225,4
Kyoto University,N363001,Introduction to Inorganic Chemistry A‐E2,2.00,CM1111,4
LaTrobe University,CHE2CAN,Chemical Analysis,15.00,CM2142,4
National Cheng Kung University,CHEM1021E315911,GENERAL CHEMISTRY,3.00,CM1417,4
Peking University,1034670,Radiochemistry,2.00,CM3991,4
Peking University,1001035140,Inorganic Chemistry,4.00,CM1111,4
Peking University,101030440,Selected Readings in Chemical Kinetics,2.00,CM4238,4
Peking University,101034460,Polymer Chemistry,2.00,CM3252,4
Peking University,101034450,Fundamentals of Chemical Engineering,2.00,CM3201,4
Peking University,1034580,Introduction to Chromatography,2.00,CM3242,4
Peking University,PKU275,General Chemistry,3.00,CM1417,4
Pennsylvania State University,CHEM227,Analytical Chemistry,4.00,CM2142,4
Pohang Uni of Sci & Technology,CHEM451,Macromolecular Chemistry,3.00,CM3252,4
Pohang Uni of Sci & Technology,CHEM342‐01,Instrumental Analysis,3.00,CM3242,4
Pohang Uni of Sci & Technology,CHEM461,Biochemistry,3.00,CM3225,4
Pohang Uni of Sci & Technology,CHEM624,Organic Synthesis Chemistry,3.00,CM3221,4
Radboud University Nijmegen,NWIMOL057,Magnetic Resonance,6.00,CM4991,4
Rice University,BIOC302,Biochemistry 2,3.00,CM3225,4
Rice University,CHEM511,SPECTRAL METHODS IN ORGANIC CHEMISTRY,3.00,CM4225,4
Royal Institute of Technology (KTH),KE2110,Applied Electrochemistry,7.50,CM3991,4
Royal Institute of Technology (KTH),KD2430,Nuclear Fuel Cycle,9.00,CM3991,4
Royal Institute of Technology (KTH),KE2130,Renewable Fuel Production Processes,7.50,CM4269,4
Royal Institute of Technology (KTH),KD2385,"Selective Organic Synthesis, Theory",6.50,CM3221,4
Royal Institute of Technology (KTH),KD2420,"Environmental Aspects of Atmospheric, Aquatic and Terrestrial Chemistry",7.50,CM3261,4
Stanford University,CHEM31B,Chemical Principles II,5.00,CM1502,4
Technical University of Denmark,26027,Fundamental Chemistry,5.00,CM1402,4
The Australian National Uni,CHEM3208,Molecular Modeling and Computational Chemistry,6.00,CM3296,4
The Australian National Uni,CHEM2213,Materials Chemistry,6.00,CM3252,4
The Australian National Uni,CHEM3013,NMR spectroscopy and mass spectrometry of small and large molecules,6.00,CM4225,4
The Australian National Uni,CHEM3203,Organometallic Chemistry,6.00,CM4212,4
The Chinese Uni of Hong Kong,CHEM4440,Food Testing and Environmental Analysis,2.00,CM3991,4
The Chinese Uni of Hong Kong,ENSC2515,Environmental Chemistry,3.00,CM3261,4
The Chinese Uni of Hong Kong,CHEM4200,Organic Chemistry in Life,2.00,CM3225,4
The Hong Kong Polytechnic Uni,ABCT4402,Advanced Analytical Techniques for Food Hazards,3.00,CM3991,4
The Hong Kong Polytechnic Uni,ABCT4741,Industrial Electrochemistry,3.00,CM3991,4
The Hong Kong Polytechnic Uni,ABCT3402,Food Chemistry,3.00,CM3991,4
The Hong Kong Polytechnic Uni,ABCT3774,Food Chemistry,3.00,CM3991,4
The Hong Kong Polytechnic Uni,ABCT2312,Introductory Cell Biology and Biochemistry,3.00,CM3225,4
The Hong Kong Polytechnic Uni,ABCT4762,Medicinal Chemistry,3.00,CM4271,4
The Hong Kong Polytechnic Uni,ABCT4740,POLYMER CHEMISTRY AND NANOTECHNOLOGY,3.00,CM3252,4
The Uni of British Columbia,CHEM405,Biophysical Chemistry,3.00,CM4991,4
The Uni of British Columbia,CHEM318,Principles of Catalysis,3.00,CM4228,4
The Uni of British Columbia,CHEM460,Organic Synthesis: A Mechanistic Approach,3.00,CM3222,4
The Uni of British Columbia,CHEM205,Physical Chemistry,3.00,CM1131,4
The University of Edinburgh,CHEM07001,Introductory Chemistry for Biologists,20.00,CM1401,4
The University of Hong Kong,BIOL3201,Food Chemistry,6.00,CM3991,4
The University of Hong Kong,CHEM3242,Food and water analysis,6.00,CM3991,4
The University of Hong Kong,CHEM3243,Introductory instrumental chemical analysis,6.00,CM3242,4
The University of Hong Kong,CHEM4143,Interfacial science and technology,6.00,CM3232,4
The University of Hong Kong,CHEM4543,Advanced Physical Chemistry,6.00,CM4238,4
The University of Hong Kong,CHEM4542,Computational Chemistry,6.00,CM3296,4
The University of Hong Kong,CHEM2441,Organic chemistry I,6.00,CM1401,4
The University of Hong Kong,CHEM4444,Chemical Biology,6.00,CM4227,4
The University of Hong Kong,CHEM4443,Integrated Organic Synthesis,6.00,CM4274,4
The University of Hong Kong,CHEM4242,Analytical Chemistry,6.00,CM4242,4
The University of Hong Kong,CHEM3342,Bioinorganic Chemistry,6.00,CM4215,4
The University of Hong Kong,CHEM3441,Organic Chemistry II,6.00,CM2121,4
The University of Hong Kong,CHEM3142,Chemical process industries and analysis,6.00,CM3201,4
The University of Hong Kong,ENVS3010,Sustainable energy and environment,6.00,CM4282,4
The University of Hong Kong,CHEM3241,Analytical chemistry II: chemical instrumentation,6.00,CM3242,4
The University of Hong Kong,CHEM4341,Advanced inorganic chemistry,6.00,CM3212,4
The University of Hong Kong,CHEM3141,Environmental Chemistry,6.00,CM3261,4
The University of Hong Kong,CHEM2442,Fundamentals of organic chemistry,6.00,CM1501,4
The University of Manchester,CHEM30412,Core Organic C,10.00,CM3222,4
The University of Manchester,CHEM30212,Soft Matter Chemistry,10.00,CM3252,4
The University of Manchester,CHEM30312,Solid States and Surfaces,10.00,CM3253,4
The University of Manchester,CHEM30342,Bioorganic and Medicinal Chemistry,10.00,CM3225,4
The University of Nottingham,F12IOC,Intermediate Synthetic Organic Chemistry,10.00,CM2121,4
The University of Nottingham,F12ATC,Atmospheric Chemistry,10.00,CM3261,4
The University of Sydney,CHEM1101,Chemistry 1A,6.00,CM1502,4
The University of Tokyo,CHEM0530054,Chemical Reactions,4.00,CM3991,4
The University of Tokyo,SCI0530053,Structural Chemistry,2.00,CM2101,4
The University of Tokyo,CHEM08D1416,Development and the Environment,2.00,CM4269,4
The University of Tokyo,CHEM08D1428,Chemistry for Environmental Sciences,2.00,CM3261,4
Trinity College Dublin,CH4113,Advanced Organic Transformations II,5.00,CM4274,4
Trinity College Dublin,CH4402,Advanced Medicinal Chemistry II,5.00,CM4273,4
Trinity College Dublin,CH4104,Advanced Inorganic Chemistry I,5.00,CM4212,4
"Uni College Cork, Ireland",CM4112,Atmospheric Chemistry and Air Pollution,5.00,CM4991,4
"Uni College Cork, Ireland",CM3016,Physical Chemistry Part 1,5.00,CM3231,4
"Uni College Cork, Ireland",CM3104,Environmental Chemistry and Analysis,5.00,CM3261,4
"Uni College Cork, Ireland",CM3025,Materials Chemistry,5.00,CM3253,4
"Uni College Cork, Ireland",CM4026,Advanced Analytical Chemistry Part 1,4.00,CM3242,4
Uni N Carolina at Chapel Hill,CHEM452,Electronic Structure of Transition Metal Complexes,3.00,CM4991,4
Uni N Carolina at Chapel Hill,CHEM468,Synthetic Aspects of Organic Chemistry,3.00,CM4274,4
Uni N Carolina at Chapel Hill,CHEM425,Polymer Material,3.00,CM3253,4
Uni N Carolina at Chapel Hill,CHEM453,Physical Methods in Inorganic Chemistry,3.00,CM4214,4
Uni N Carolina at Chapel Hill,CHEM473,Chemistry and Physics of Surfaces,3.00,CM3232,4
University College Dublin,CHEM30310,Soft Matter & Interfacial Chemistry (CHEM30310),5.00,CM3991,4
University College Dublin,CHEM20110,Env & Sustainable Chemistry,5.00,CM3261,4
University College Dublin,CHEM30190,Chemistry of Biomolecules,5.00,CM3225,4
University College Dublin,CHEM30260,Chemical Biology of Natural Products,5.00,CM4227,4
University College Dublin,CHEM30250,Organometallic and Solid State Chemistry,5.00,CM4212,4
University College London,ISSU2039,Climate and Energy (Level 2),15.00,CM3261,4
University of Alberta,CHEM303,ENVIRONMENTAL CHEMISTRY I,3.00,CM3261,4
University of Alberta,CHEM463,Organic Synthesis,3.00,CM3221,4
University of Alberta,CHEM313,Instrumentation in Chemical Analysis,3.00,CM3242,4
University of Alberta,CHEM461,Qualitative Organic Analysis,3.00,CM4225,4
University of Bath,CH20177,Organic Chemistry 4 for Visiting Students,6.00,CM3222,4
University of Bath,CH20179,Physical Chemistry 4 for Visiting Students,6.00,CM3232,4
University of Bath,CH30230,DNA in the Modern World,3.00,CM3225,4
University of Birmingham,310852,Inorganic Chemistry II,10.00,CM3253,4
University of Birmingham,30310856,Physical Chemistry II,10.00,CM3232,4
University of Calgary,CHEM315,Analytical Chemistry: Introductory Instrumental Analysis,3.00,CM3242,4
University of Calgary,CHEM579,Surface and Colloid Chemistry for Engineers,3.00,CM3232,4
University of California,CHEM156,Physical Biochemistry,4.00,CM4991,4
University of California,CHEM143,Nuclear Chemistry,2.00,CM3991,4
University of California,CHEMC130,Biophysical Chemistry: Physical Principles and the Molecules of Life,4.00,CM4991,4
University of California,CHEM154A,Magnetic Resonance in Biological Systems,3.00,CM3991,4
University of California,CHEM125,Computers in Chemistry,4.00,CM3991,4
University of California,CHE8B,Organic Chemistry: Brief Course,4.00,CM1501,4
University of California,CHEM153A,"Biochemistry: Introduction to Structure, Enzymes, and Metabolism",4.00,CM3225,4
University of California,CHEM6A,General Chemistry,4.00,CM1417,4
University of California,CHEMC150,Introduction to Materials Chemistry,3.00,CM3253,4
University of California,CHEM105,Instrumental Methods in Analytical Chemistry,4.00,CM3242,4
University of California,CHEM154,Mechanisms of Organic Reactions,4.00,CM3222,4
University of California,CHEM171,Environmental Chemistry I,4.00,CM3261,4
University of California,CHEM200B,Fundamentals of Instrumental Analysis,4.00,CM3242,4
University of California,CHEM103,Environmental Chemistry,4.00,CM3261,4
University of California,CHEMC181,Polymer Chemistry,4.00,CM3252,4
University of California,CHEM172,Advanced Inorganic Chemistry,4.00,CM3212,4
University of California,CHEMC143A,Structure and Mechanism in Organic Chemistry,4.00,CM3222,4
University of California,CHEM114,Advanced Synthetic Organic Chemistry,3.00,CM3221,4
University of California,CHEM113,Advanced Mechanistic Organic Chemistry,3.00,CM3222,4
University of California,CHEM135,Chemical Biology,3.00,CM3225,4
University of California,MSE123,Semiconductor Processing,3.00,CM4254,4
University of California,MSE102,"Bonding, Crystallography and Defects",3.00,CM3253,4
University of California,CHEMC178,Polymer Science and Technology,3.00,CM3252,4
University of California,CHEM115,Instrumental Analysis and Bioanalytical Chemistry,3.00,CM3242,4
University of California,ESS100,Environmental Chemistry,4.00,CM3261,4
University of California,CHEM124,Organic Spectroscopic Analysis,3.00,CM4225,4
University of California,CHEM113A,Physical Chemistry: Introduction to Quantum Mechanics,4.00,CM3231,4
University of Copenhagen,NKEK14009U,Advanced Crystallography,7.50,CM4991,4
University of Copenhagen,NKEB13008U,Crystallography ‐ Bsc,7.50,CM4991,4
University of Copenhagen,NKEB13017U,Supramolecular and Macromolecular Chemistry (KemiSM),7.50,CM3991,4
University of Copenhagen,NKEB14015U,The Chemistry of Metal Ions in Biological Systems,7.50,CM4215,4
University of Copenhagen,NKEA07016U,Computational Chemistry,15.00,CM3296,4
University of Copenhagen,NKEA07005U,Unifying Concepts in Nanoscience (UCN),15.00,CM3251,4
University of Copenhagen,NKEB13015U,Material Chemistry (MatKem),7.50,CM3253,4
University of Georgia,CHEM4190,Introduction to NMR Spectroscopy,5.00,CM4225,4
University of Leeds,CHEM3100,Chemistry at the Molecular Level,10.00,CM3991,4
University of Leeds,CHEM3190,Chromatography and Analytical Separation,10.00,CM3242,4
University of Leeds,CHEM3180,Organic Synthesis,10.00,CM3221,4
University of Leeds,CHEM3185,Atmospheric Chemistry,10.00,CM3261,4
University of Leeds,CHEM3131,Chemical Bonding and Reactivity,10.00,CM3296,4
University of Texas at Austin,CH301H,PRINCIPLES OF CHEM I: HONORS,3.00,CM1131,4
University of Toronto,CHM211H5,Fundamentals of Analytical Chemistry,0.50,CM2142,4
University of Toronto,CHM414H5F,Advanced Topics in Analytical Chemistry,0.50,CM4242,4
"University of Toronto, Mississauga",CHM333H5,Bioinorganic Chemistry,0.50,CM4215,4
"University of Toronto, Mississauga",CHM345H5,Organic Synthesis,0.50,CM3221,4
"University of Toronto, Mississauga",CHM347H5,Organic Chemistry of Biological Compounds,0.50,CM3225,4
"University of Toronto, Mississauga",CHM311H5,Instrumental Analytical Chemistry,0.50,CM3242,4
University of Waterloo,CHEM310,Transition Element Compounds and Inorganic Materials,0.50,CM3212,4
University of Waterloo,CHEM370,Introduction to Polymer Science,0.50,CM3252,4
University of Waterloo,CHEM464,Spectroscopy in Organic Chemistry,0.50,CM4225,4
University of Waterloo,MNS211,Chemistry and the Solid State,0.50,CM3253,4
University of Waterloo,CHEM323,Analytical Instrumentation,0.50,CM3242,4
University of York,CHE00011H,Atmospheric Chemistry & Climate,10.00,CM1991,4
Western University,CHEMISTR4444A,STATISTICAL MECHANICS AND MOLECULAR SIMULATIONS,0.50,CM4991,4
Western University,CHEMISTR2213,Organic Chemistry for Life Sciences,0.50,CM1401,4
Western University,CHEMISTR1301,Discovering Chemical Structure,0.50,CM1402,4
Western University,CHEMISTR4471B,Transition Metals & Catalysis,0.50,CM4212,4
Western University,CHEMISTR2210A,Chemistry of the Environment,0.50,CM3261,4
Western University,CHEMISTR3372F,Instrumental Analytical Chemistry,0.50,CM3242,4
Western University,CHEMISTR3330F,Industrial Chemistry,0.50,CM3201,4
Western University,CHEMISTR4481A,Solid‐state Inorganic Chemistry and Materials,0.50,CM3253,4
Western University,CHEMISTR3373F,Organic Chemistry III: Reactions and Strategies for Synthesis,0.50,CM3222,4
Western University,CHEMISTR4493A,Chemistry of Biological Macromolecules,0.50,CM3225,4
Partner University (PU),PU Module Code,PU Module Title,PU Module Credits,NUS Module Code,NUS Module Credits
Cornell University College of Agriculture and Life Sciences,FDSC1104,INTRODUCTION TO WINES AND VINES,3,FST1991,4
Hong Kong Uni of Sci & Tech,LIFS1090,Food and Medicine,3,FST2991,4
Korea University,BSMS315,PRINCIPLES OF FOOD PREPARATION(English),3,FST2991,4
LaTrobe University,DTN3NDS,NUTRITION AND DISEASE,15,FST3202,4
National Cheng Kung University,A962102,"FOOD, NUTRITION AND HEALTH",2,FST1991,4
The Uni of British Columbia,FNH330,Introduction to Wine Science 1,3,FST3991,4
The University of Tokyo,ARTS08D1442,Modern Food Consumption,2,FST1991,4
"Uni Illinois, Urbana‐Champaign",FSHN101,Intro Food Science & Nutrition,3,FST1991,4
University of Amsterdam,ACC/SCI/900243,Gastronomy: The Arts & Sciences of Cooking,6,FST2992,4
University of California,FST003,Intro to Brewing & Beer,3,FST1991,4
University of California,ECM001,Design of Coffee,3,FST1991,4
University of California,NUT10Y,Discov & Concepts,3,FST1992,4
University of California,SAS002,Feeding the Planet: Influences on the Global Food Supply,3,FST1991,4
University of California,VEN003,Introduction to Winemaking,3,FST2991,4
University of California,NUSCTX10,Introduction to Human Nutrition,3,FST2201,4
University of Connecticut,NUSC1167,"Food, Culture and Society",3,FST2992,4
University of Connecticut,NUSC1645,The Science of Food,3,FST1991,4
University of Copenhagen,NFOB14012U,Sensory and consumer science,7.5,FST2991,4
University of Copenhagen,LLEK10257U,Food choice and acceptance,7.5,FST2991,4
University of Copenhagen,NFOK13004U,Food Science and Culinary Techniques,7.5,FST2991,4
University of Copenhagen,NNEK14004U,Fundamentals of beer brewing and wine making,7.5,FST2991,4
University of Georgia,FDNS2100,Human Nutrition and Food,3,FST2201,4
University of Georgia,FDST2010,Food issues and choices,3,FST2991,4
University of Hohenheim,HEALTH1401‐530,Global Nutrition,7.5,FST2991,4
University of Leeds,FOOD1131,Traditional Alcoholic Beverages,10,FST2991,4
University of Leeds,FOOD1010,FOOD: ORIGINS AND FORM,10,FST2991,4
University of Leeds,FOOD3330,Functional foods,10,FST2992,4
University of Toronto,NFS284H1,BASIC HUMAN NUTRITION,0.5,FST2201,4
Partner University (PU),PU Module Code,PU Module Title,PU Module Credits,NUS Module Code,NUS Module Credits
Aarhus University,205142U004,Tree of Life 1 ‐ Phylogenetics,5,LSM3252,4
Aarhus University,205162U001,Tree of Life 2 ‐ Population and Evolutionary Genomics,5,LSM3252,4
Aarhus University,215111U001,Behavioural Biology,10,LSM3267,4
Aarhus University,215111U018,GIS Modelling,5,LSM3991,4
Aarhus University,215111U029,The Tree of Life,5,LSM3252,4
Aarhus University,215111U034,Ecophysiology,10,LSM3214,4
Aarhus University,215131U003,Geographic Information Systems (GIS),5,LSM3991,4
Aarhus University,215141U004,Microbial Element Cycling,5,LSM3264,4
Aarhus University,215141U013,Microbiology: Microbial physiology & identification,10,LSM3232,4
Aarhus University,215142U001,Biogeography and Macroecology,10,LSM3991,4
Aarhus University,215151U006,Evolutionary Genetics,5,LSM3272,4
Aarhus University,255112U013,Molecular Embryology,10,LSM3233,4
Aarhus University,255122U008,Applied Structural Biology,5,LSM4231,4
Aarhus University,255131U002,Molecular Neurobiology,5,LSM3215,4
Aarhus University,255141U004,Medical Genome Analysis,5,LSM3241,4
Aarhus University,255142U004,Bioinformatics Analysis of Genomics Data,5,LSM3241,4
Aarhus University,260112U009,Nanomedicine,5,LSM3991,4
Aarhus University,260132U001,Biomaterials,5,LSM3991,4
Aarhus University,260142U003,Molecular Biophysics,5,LSM3243,4
Aarhus University,255112U004,Experimental Project on Host‐Microbe Interactions,5,LSM3991,4
Aarhus University,255152U006,Neurobiology,10,LSM3215,4
Arizona State University,BIO302,Cancer ‐ Mother of All Diseases,3,LSM3991,4
Arizona State University,BIO331,Animal Behavior,3,LSM3267,4
Arizona State University,BIO345,Organic Evolution,3,LSM3252,4
Arizona State University,BIO351,Developmental Biology,3,LSM3233,4
Arizona State University,BIO360,Animal Physiology,3,LSM3212,4
Arizona State University,BIO386,General Entomology,4,LSM3265,4
Arizona State University,BIO418,Soil Ecology,3,LSM3991,4
Arizona State University,BIO440,Functional Genomics,3,LSM4241,4
Arizona State University,BIO461,Comparative Animal Physiology,3,LSM3262,4
Arizona State University,BIO462,Endocrine Physiology,3,LSM3214,4
Arizona State University,BIO471,Ornithology,3,LSM3266,4
Arizona State University,GPH314,Global Change,3,LSM3272,4
Arizona State University,LNP494,Urban Horticulture,3,LSM3256,4
Arizona State University,PLB302,Plants and Civilization,3,LSM3991,4
Arizona State University,PLB308,Plant Physiology,4,LSM3991,4
The Australian National Uni,ARCH1111,Archaelogy Uncovered,6,LSM3991,4
The Australian National Uni,BIAN2015,Human Skeletal Analysis,6,LSM3991,4
The Australian National Uni,BIAN3021,Primate Conservation Biology,6,LSM3991,4
The Australian National Uni,BIAN3127,Primate Ecology and Behaviour,6,LSM3991,4
The Australian National Uni,BIOL2103,Human Physiology,6,LSM3214,4
The Australian National Uni,BIOL2111,Australian Vertebrates,6,LSM2991,4
The Australian National Uni,BIOL2122,Plant Functional Diversity: Genomes to Biomes,6,LSM2991,4
The Australian National Uni,BIOL3107,Advances in Medical and Plant Biochemistry,6,LSM3991,4
The Australian National Uni,BIOL3131,Evolutionary and Behavioral Ecology,6,LSM3267,4
The Australian National Uni,BIOL3144,Molecular Immunology,6,LSM3223,4
The Australian National Uni,BIOL3206,Evolution of biodiversity,6,LSM3252,4
The Australian National Uni,BIOL1003,"Biology 1: Evolution, Ecology and Genetics",6,LSM1991,4
The Australian National Uni,BIOL1008,Human Biology,6,LSM1991,4
The Australian National Uni,EMSC3027,Paleoclimatology and Climate Change,6,LSM3272,4
The Australian National Uni,ENVS3014,Ecological Assessment and Management,6,LSM3991,4
The Australian National Uni,NEUR3101,Cellular Neuroscience,6,LSM3216,4
Bilkent University,MBG502,Advanced Cellular Biology,7.5,LSM4232,4
Bilkent University,MBG522,Recent Developments in Cellular Biology,7.5,LSM4232,4
Bilkent University,MBG602,Molecular and Cellular Immunology,7.5,LSM4222,4
Bilkent University,MBG603,Molecular Bases of Cancer,7.5,LSM4214,4
Bilkent University,MBG311,Biochemistry I,4,LSM3231,4
Bilkent University,MBG316,Physiology,3,LSM3212,4
Bilkent University,MBG338,Microbiology,4,LSM3232,4
Bilkent University,MBG416,Science and Ethics,3,LSM3991,4
Bilkent University,MBG470,Immunology,3,LSM3223,4
Bilkent University,MBG475,Molecular Basis of Evolution,3,LSM3252,4
Bilkent University,MBG481,Protein Chemistry,3,LSM3231,4
Bilkent University,MBG483,Developmental Biology,4,LSM3233,4
Bilkent University,MBG485,DNA Damage and Repair Mechanisms,3,LSM3991,4
Bilkent University,MBG489,Genetics and Biology of Cancer,3,LSM4243,4
Bilkent University,MBG514,Stem Cell Biology,3,LSM4227,4
Bilkent University,NSC511,"Cellular, Molecular and Developmental Neuroscience",3,LSM3215,4
Boston University,CASAN102,"Human Biology, Behavior and Evolution",4,LSM1303,4
Boston University,CASBI225,Behavioral Biology,4,LSM3267,4
Boston University,CASBI306,Biology of Global Change (EBE),4,LSM3272,4
Boston University,CASBI311,General Microbiology (CM),4,LSM3232,4
Boston University,CASBI327,Cancer Biology,4,LSM3991,4
Boston University,CASBI407,Animal Behavior,4,LSM3267,4
Boston University,CASBI410,Developmental Biology (CM),4,LSM3233,4
Boston University,CASBI445,Cellular and Molecular Neurophysiology,4,LSM3215,4
Boston University,CASBI455,Developmental Neurobiology,4,LSM3216,4
Boston University,CASBI576,Carcinogenesis,4,LSM4243,4
Boston University,ENGBF527,Applications in Bioinformatics,4,LSM2241,4
Boston University,GMSBT408,Immunology,4,LSM3223,4
Boston University,GMSMS783,Molecular Basis of Neurologic Diseases,2,LSM3216,4
Boston University,NE337,Memory Systems of the Brain,4,LSM3215,4
Boston University,SARHS342,Exercise Physiology,4,LSM3991,4
Brandeis University,BIO75B,Infectious Disease,15,LSM3224,4
Brandeis University,BIOL103B,Mechanisms of Cell Functions,15,LSM3243,4
Brandeis University,BIOL15B,Cells and Organisms,4,LSM1991,4
Brandeis University,BIOL172B,Growth Control and Cancer,4,LSM3991,4
Brandeis University,BIOL17B,Conservation Biology,4,LSM4262,4
Brandeis University,BIOL42A,Physiology,7.5,LSM3214,4
Brandeis University,BIOL5A,Pathogens and Human Diseases,4,LSM3991,4
Brandeis University,CHEM33A,Environmental Chemistry,15,LSM3264,4
Brandeis University,NBIO145B,Systems Neuroscience,15,LSM3215,4
Case Western Reserve University,BIOL114,Principles of Biology,3,LSM1301,4
Chalmers University of Technology,KFK021,Biophysical Chemistry,7.5,LSM3243,4
The Chinese Uni of Hong Kong,BCHE3040,Proteins and Enzymes,3,LSM3231,4
The Chinese Uni of Hong Kong,BCHE4040,Aspects of Neuroscience,3,LSM3215,4
The Chinese Uni of Hong Kong,BCHE4060,Basic and Applied Immunology,3,LSM3223,4
The Chinese Uni of Hong Kong,BIOL3410,General Microbiology,3,LSM3232,4
The Chinese Uni of Hong Kong,BIOL3630,Animal Physiology,3,LSM3214,4
The Chinese Uni of Hong Kong,BIOL4010,Evolutionary Biology,3,LSM3252,4
